"time","level","v1","v2","q_in","q_out","v1_cmd","v2_cmd"
22.0,76.19010760912886,0.999985477850366,0.0,3.7999448158313904,0.0,1,0
22.5,78.09008354015421,0.9999887260250807,0.0,3.7999571588953067,0.0,1,0
23.0,79.99006485469626,0.9999912476793253,0.0,3.799966741181436,0.0,1,0
23.5,81.89005034862177,0.999993205314209,0.0,3.799974180193994,0.0,1,0
24.0,83.79003908712646,0.9999947250841561,0.0,3.799979955319793,0.0,1,0
24.5,85.69003034449406,0.9999959049265827,0.0,3.7999844387210144,0.0,1,0
25.0,87.59002355732959,0.9999968208732065,0.0,3.7999879193181845,0.0,1,0
25.5,89.49001828825278,0.9999975319497018,0.0,3.7999906214088663,0.0,1,0
26.0,91.39001419771239,0.9999980839794477,0.0,3.799992719121901,0.0,1,0
26.5,93.29001102210472,0.9999985125364911,0.0,3.7999943476386657,0.0,1,0
27.0,95.19000855678642,0.9999988452380182,0.0,3.799995611904469,0.0,1,0
27.5,97.0900066428868,0.9999991035240685,0.0,3.79999659339146,0.0,1,0
28.0,98.99000515706985,0.99999930403918,0.0,3.799997355348884,0.0,1,0
28.5,100.89000400358611,0.9999994597050004,0.0,3.7999979468790013,0.0,1,0
29.0,102.79000310810251,0.999999580552988,0.0,3.7999984061013543,0.0,1,0
29.5,104.69000241291207,0.9999996743708602,0.0,3.7999987626092686,0.0,1,0
30.0,106.59000187321514,0.9999997472044535,0.0,3.799999039376923,0.0,1,0
30.5,108.49000145423243,0.9999998037473291,0.0,3.7999992542398506,0.0,1,0
31.0,110.39000112896373,0.9999998476432383,0.0,3.7999994210443058,0.0,1,0
31.5,112.29000087644802,0.9999998817209328,0.0,3.7999995505395443,0.0,1,0
32.0,114.1900006804126,0.9999999081764567,0.0,3.7999996510705354,0.0,1,0
32.5,116.0900005282245,0.9999999287146634,0.0,3.799999729115721,0.0,1,0
33.0,117.99000041007636,0.9999999446590817,0.0,3.7999997897045104,0.0,1,0
33.5,119.89000031835445,0.9999999570372059,0.0,3.799999836741382,0.0,1,0
34.0,121.79000024714801,0.9999999666467103,0.0,3.799999873257499,0.0,1,0
34.5,123.69000019186835,0.9999999741068534,0.0,3.799999901606043,0.0,1,0
35.0,125.59000014895311,0.9999999798983833,0.0,3.799999923613856,0.0,1,0
35.5,127.49000011563673,0.9999999843945195,0.0,3.7999999406991742,0.0,1,0
36.0,129.39000008977223,0.9999999878850034,0.0,3.7999999539630127,0.0,1,0
36.5,131.2900000696929,0.9999999905947693,0.0,3.799999964260123,0.0,1,0
37.0,133.19000005410467,0.9999999926984409,0.0,3.799999972254075,0.0,1,0
37.5,135.09000004200308,0.9999999943315834,0.0,3.7999999784600167,0.0,1,0
38.0,136.99000003260826,0.9999999955994404,0.0,3.7999999832778735,0.0,1,0
38.5,138.89000002531483,0.9999999965837153,0.0,3.799999987018118,0.0,1,0
39.0,140.7900000196527,0.999999997347837,0.0,3.7999999899217802,0.0,1,0
39.5,142.69000001525703,0.9999999979410473,0.0,3.7999999921759797,0.0,1,0
40.0,144.5900000118446,0.999999998401574,0.0,3.799999993925981,0.0,1,0
40.5,146.4900000091954,0.9999999987590946,0.0,3.7999999952845593,0.0,1,0
41.0,148.39000000713875,0.9999999990366485,0.0,3.799999996339264,0.0,1,0
41.5,150.29000000554208,0.9999999992521217,0.0,3.799999997158062,0.0,1,0
42.0,152.1900000043025,0.9999999994193999,0.0,3.7999999977937193,0.0,1,0
42.5,154.09000000334024,0.9999999995492629,0.0,3.799999998287199,0.0,1,0
43.0,155.99000000259318,0.9999999996500796,0.0,3.799999998670302,0.0,1,0
43.5,157.89000000201324,0.9999999997283463,0.0,3.799999998967716,0.0,1,0
44.0,159.790000001563,0.9999999997891071,0.0,3.799999999198607,0.0,1,0
