"time","temp","T_env","heater"
64.5,16.403996650999286,14.481171338165254,0
65.0,16.369337663290622,15.513136577867712,0
65.5,16.36328748138411,16.42973039081801,0
66.0,16.38493290651378,17.752207631840587,0
66.5,16.435990674170156,18.828028119495716,0
67.0,16.505656829305362,19.654239380617128,0
67.5,16.59472782419697,20.470779996162793,0
68.0,16.70968674598719,21.69645347090133,0
68.5,16.83845141486654,22.1390539325742,0
69.0,16.979749252309364,22.74028318746017,0
69.5,17.13568824905771,23.38453780036179,0
70.0,17.29932900480745,23.90000898035024,0
70.5,17.471174217842773,24.326977033530884,0
71.0,17.649561767069656,24.93179771619573,0
71.5,17.831307170430897,25.0,0
72.0,18.008741256449007,25.0,0
72.5,18.181783627599486,25.0,0
73.0,18.34821232280963,24.88432529191111,0
73.5,18.50640110949441,24.760661269314312,0
74.0,18.655986007555647,24.062116799703542,0
74.5,18.790093958179767,23.804034928972065,0
75.0,18.908407310290368,23.09011409750021,0
75.5,19.00134109891446,22.334711019369163,0
76.0,19.073275172717764,21.61625682660046,0
76.5,19.12049227096084,20.56290313778895,0
77.0,19.13122091419628,18.911596250725296,0
77.5,19.115877967906044,18.20471089693158,0
78.0,19.08097960563521,17.44424838752016,0
78.5,19.02301347121269,16.28015568354318,0
79.0,18.938398793369956,15.278599050038064,0
79.5,18.831196066048896,14.14799722948282,0
80.0,18.69675170730398,13.133228466375355,0
80.5,18.550987576513023,12.599660301111776,0
81.0,18.39251494374263,12.054476364264481,0
81.5,18.23051935453813,11.587059110210719,0
82.0,18.055990028528782,10.855146321172207,0
82.5,17.8770810818079,10.689284831031916,0
83.0,17.702390975975945,10.712430578274745,0
83.5,17.518910198022773,10.032582010319377,0
84.0,17.332974248912524,10.0,0
84.5,17.15596230502004,10.366258669512364,0
85.0,16.986505130418205,10.314384359228606,0
85.5,16.821324889338975,10.304604149427224,0
86.0,16.664851451003663,10.621156106656656,0
86.5,16.524525285133926,11.371094448706344,0
87.0,16.407906079217728,12.058387475923581,0
87.5,16.310537614248076,12.666292737844906,0
88.0,16.22855993293966,13.288216692057276,0
88.5,16.170791646403934,14.298532094062569,0
89.0,16.147067554586602,15.665598431726352,0
89.5,16.14808167764294,16.62431525749348,0
90.0,16.175587620309962,17.549539594472062,0
90.5,16.222892614443772,18.379883094329553,0
91.0,16.28767149536233,18.923973468109672,0
91.5,16.36347584813362,19.638618426607337,0
92.0,16.465500830257753,20.91893296304281,0
92.5,16.592705126264942,21.954190392943577,0
93.0,16.741653773724938,22.888797966689637,0
93.5,16.905621703967892,23.56565840982884,0
94.0,17.073739577152914,23.75126438909413,0
94.5,17.250427369165482,24.496014720177207,0
95.0,17.43186603094829,24.655077283679624,0
95.5,17.60951260740939,24.720656850814585,0
96.0,17.787688407278836,24.84794226941331,0
96.5,17.96009443339913,24.57173500168422,0
97.0,18.11919927896729,24.309771934656865,0
97.5,18.271842834824895,24.151329155609613,0
98.0,18.41360469960204,23.87526387048943,0
98.5,18.531351706508836,22.617907193473847,0
99.0,18.62603357583539,22.262159157156816,0
99.5,18.70860393471014,21.734279671625373,0
100.0,18.77592881148592,21.169862646821578,0
100.5,18.821611598517272,20.14648679154011,0
101.0,18.84881319598757,19.683779699865013,0
101.5,18.848473787871722,18.36245947529709,0
102.0,18.82374586470095,17.570075392607688,0
102.5,18.775293990751553,16.41683276204703,0
103.0,18.704995333423305,15.595482568256969,0
103.5,18.614719274823717,14.742153284447454,0
104.0,18.49967337586805,13.433055261206214,0
104.5,18.364529154565084,12.680454895723923,0
105.0,18.21830091542045,12.37384482305851,0
105.5,18.059342908438303,11.424440393368712,0
106.0,17.881417338231884,10.904668807382313,0
106.5,17.703708285783794,10.679288834752565,0
107.0,17.523961409889356,10.294302398937557,0
107.5,17.342534306726847,10.019190787357774,0
108.0,17.160797427389948,10.0,0
108.5,16.98355876242038,10.0,0
109.0,16.81070697540382,10.0,0
109.5,16.642820350309407,10.137372933674246,0
110.0,16.495237786622926,11.04768668330368,0
110.5,16.362565450198137,11.163352443993809,0
111.0,16.241024064819126,11.684709178195472,0
111.5,16.14347512656335,12.592709734509532,0
112.0,16.077420893463604,13.999894826050713,0
112.5,16.045035176731663,15.305459967538166,0
113.0,16.036979741297564,16.01970554719054,0
113.5,16.050128495355143,17.096470349646815,0
114.0,16.090294894774143,17.952328619638738,0
114.5,16.14659419675791,18.536778800601613,0
115.0,16.223622847186498,19.53475863503715,0
115.5,16.322707510515713,20.482931999827148,0
116.0,16.442192616906915,21.577074177355218,0
116.5,16.575032114903905,21.80237806181341,0
117.0,16.71339800852013,22.525540856830332,0
117.5,16.871574364993403,23.264251501458645,0
118.0,17.039787517522896,23.771319481579056,0
118.5,17.219112387610757,24.446998210807774,0
119.0,17.405084690359818,24.80258759803602,0
119.5,17.58193450257844,24.391066719190658,0
120.0,17.752766018125147,24.328418775544286,0
120.5,17.91787977566455,24.45848097374841,0
121.0,18.06946616555736,23.810034265731925,0
121.5,18.213442962364404,23.853648731072685,0
122.0,18.34442614865835,23.36413072391776,0
122.5,18.46338086848729,22.9291833241534,0
123.0,18.56277763926299,22.079227476645208,0
123.5,18.6437545799869,21.849701207136846,0
124.0,18.709710345499467,21.111482828003044,0
124.5,18.758290893140916,20.21987061159689,0
125.0,18.787171639872255,19.566249076325033,0
125.5,18.78848787090054,18.104330671917634,0
126.0,18.76183045823394,17.355521165993643,0
126.5,18.709484130502265,16.086770841376435,0
127.0,18.630637510827643,15.042257241107716,0
127.5,18.526739816250334,14.038024429828365,0
128.0,18.40292561142233,13.27020632301183,0
128.5,18.262578841929265,12.382306361243739,0
