time,tank1_level,tank2_level,v1_cmd,v2_cmd,v3_cmd,q_transfer
201.0,99.00000000001035,705.0,1,1,0,5.0
202.0,98.0000000000104,710.0,1,1,0,5.0
203.0,97.00000000001046,715.0,1,1,0,5.0
204.0,96.00000000001052,720.0,1,1,0,5.0
205.0,95.00000000001057,725.0,1,1,0,5.0
206.0,94.00000000001063,730.0,1,1,0,5.0
207.0,93.00000000001069,735.0,1,1,0,5.0
208.0,92.00000000001074,740.0,1,1,0,5.0
209.0,91.0000000000108,745.0,1,1,0,5.0
210.0,90.00000000001086,750.0,1,1,0,5.0
211.0,94.00000000001091,750.0,1,0,0,0.0
212.0,98.00000000001097,750.0,1,0,0,0.0
213.0,102.00000000001103,750.0,1,0,0,0.0
214.0,106.00000000001108,750.0,1,0,0,0.0
215.0,110.00000000001114,750.0,1,0,0,0.0
216.0,114.0000000000112,750.0,1,0,0,0.0
217.0,118.00000000001125,750.0,1,0,0,0.0
218.0,122.00000000001131,750.0,1,0,0,0.0
219.0,126.00000000001137,750.0,1,0,0,0.0
220.0,130.00000000001143,750.0,1,0,0,0.0
221.0,134.00000000001148,750.0,1,0,0,0.0
222.0,138.00000000001154,750.0,1,0,0,0.0
223.0,142.0000000000116,750.0,1,0,0,0.0
224.0,146.00000000001165,750.0,1,0,0,0.0
225.0,150.0000000000117,750.0,1,0,0,0.0
226.0,149.00000000001177,755.0,1,1,0,5.0
227.0,148.00000000001182,760.0,1,1,0,5.0
228.0,147.00000000001188,765.0,1,1,0,5.0
229.0,146.00000000001194,770.0,1,1,0,5.0
230.0,145.000000000012,775.0,1,1,0,5.0
231.0,144.00000000001205,780.0,1,1,0,5.0
232.0,143.0000000000121,785.0,1,1,0,5.0
233.0,142.00000000001216,790.0,1,1,0,5.0
234.0,141.00000000001222,795.0,1,1,0,5.0
235.0,140.00000000001228,800.0,1,1,0,5.0
236.0,139.00000000001234,805.0,1,1,0,5.0
237.0,138.0000000000124,810.0,1,1,0,5.0
238.0,137.00000000001245,815.0,1,1,0,5.0
239.0,136.0000000000125,820.0,1,1,0,5.0
240.0,135.00000000001256,825.0,1,1,0,5.0
241.0,134.00000000001262,830.0,1,1,0,5.0
242.0,133.00000000001268,835.0,1,1,0,5.0
243.0,132.00000000001273,840.0,1,1,0,5.0
244.0,131.0000000000128,845.0,1,1,0,5.0
245.0,130.00000000001285,850.0,1,1,0,5.0
246.0,129.0000000000129,855.0,1,1,0,5.0
247.0,128.00000000001296,860.0,1,1,0,5.0
248.0,127.00000000001302,865.0,1,1,0,5.0
249.0,126.00000000001307,870.0,1,1,0,5.0
250.0,125.00000000001313,875.0,1,1,0,5.0
251.0,124.00000000001319,880.0,1,1,0,5.0
252.0,123.00000000001324,885.0,1,1,0,5.0
253.0,122.0000000000133,890.0,1,1,0,5.0
254.0,121.00000000001336,895.0,1,1,0,5.0
255.0,120.00000000001342,900.0,1,1,0,5.0
256.0,119.00000000001347,905.0,1,1,0,5.0
257.0,118.00000000001353,910.0,1,1,0,5.0
258.0,117.00000000001359,915.0,1,1,0,5.0
259.0,116.00000000001364,920.0,1,1,0,5.0
260.0,115.0000000000137,925.0,1,1,0,5.0
261.0,114.00000000001376,930.0,1,1,0,5.0
262.0,113.00000000001381,935.0,1,1,0,5.0
263.0,112.00000000001387,940.0,1,1,0,5.0
264.0,111.00000000001393,945.0,1,1,0,5.0
265.0,110.00000000001398,950.0,1,1,0,5.0
266.0,109.00000000001404,955.0,1,1,0,5.0
267.0,108.0000000000141,960.0,1,1,0,5.0
268.0,107.00000000001415,965.0,1,1,0,5.0
269.0,106.00000000001421,970.0,1,1,0,5.0
270.0,105.00000000001427,975.0,1,1,0,5.0
271.0,104.00000000001432,980.0,1,1,0,5.0
272.0,103.00000000001438,985.0,1,1,0,5.0
273.0,102.00000000001444,990.0,1,1,0,5.0
274.0,101.0000000000145,995.0,1,1,0,5.0
275.0,100.00000000001455,1000.0,1,1,0,5.0
276.0,99.00000000001461,1005.0,1,1,0,5.0
277.0,98.00000000001467,1010.0,1,1,0,5.0
278.0,97.00000000001472,1015.0,1,1,0,5.0
279.0,96.00000000001478,1020.0,1,1,0,5.0
280.0,95.00000000001484,1025.0,1,1,0,5.0
281.0,94.0000000000149,1030.0,1,1,0,5.0
282.0,93.00000000001495,1035.0,1,1,0,5.0
283.0,92.000000000015,1040.0,1,1,0,5.0
284.0,91.00000000001506,1045.0,1,1,0,5.0
285.0,90.00000000001512,1050.0,1,1,0,5.0
286.0,94.00000000001518,1050.0,1,0,0,0.0
287.0,98.00000000001523,1050.0,1,0,0,0.0
288.0,102.00000000001529,1050.0,1,0,0,0.0
289.0,106.00000000001535,1050.0,1,0,0,0.0
290.0,110.0000000000154,1050.0,1,0,0,0.0
291.0,114.00000000001546,1050.0,1,0,0,0.0
292.0,118.00000000001552,1050.0,1,0,0,0.0
293.0,122.00000000001558,1050.0,1,0,0,0.0
294.0,126.00000000001563,1050.0,1,0,0,0.0
295.0,130.0000000000157,1050.0,1,0,0,0.0
296.0,134.00000000001575,1050.0,1,0,0,0.0
297.0,138.0000000000158,1050.0,1,0,0,0.0
298.0,142.00000000001586,1050.0,1,0,0,0.0
299.0,146.00000000001592,1050.0,1,0,0,0.0
300.0,150.00000000001597,1050.0,1,0,0,0.0
301.0,149.00000000001603,1055.0,1,1,0,5.0
302.0,148.0000000000161,1060.0,1,1,0,5.0
303.0,147.00000000001614,1065.0,1,1,0,5.0
304.0,146.0000000000162,1070.0,1,1,0,5.0
305.0,145.00000000001626,1075.0,1,1,0,5.0
306.0,144.0000000000163,1080.0,1,1,0,5.0
307.0,143.00000000001637,1085.0,1,1,0,5.0
308.0,142.00000000001643,1090.0,1,1,0,5.0
309.0,141.00000000001648,1095.0,1,1,0,5.0
310.0,140.00000000001654,1100.0,1,1,0,5.0
311.0,139.0000000000166,1105.0,1,1,0,5.0
312.0,138.00000000001666,1110.0,1,1,0,5.0
313.0,137.0000000000167,1115.0,1,1,0,5.0
314.0,136.00000000001677,1120.0,1,1,0,5.0
315.0,135.00000000001683,1125.0,1,1,0,5.0
316.0,134.00000000001688,1130.0,1,1,0,5.0
317.0,133.00000000001694,1135.0,1,1,0,5.0
318.0,132.000000000017,1140.0,1,1,0,5.0
319.0,131.00000000001705,1145.0,1,1,0,5.0
320.0,130.0000000000171,1150.0,1,1,0,5.0
321.0,129.00000000001717,1155.0,1,1,0,5.0
322.0,128.00000000001722,1160.0,1,1,0,5.0
323.0,127.00000000001728,1165.0,1,1,0,5.0
324.0,126.00000000001734,1170.0,1,1,0,5.0
325.0,125.0000000000174,1175.0,1,1,0,5.0
326.0,124.00000000001745,1180.0,1,1,0,5.0
327.0,123.00000000001751,1185.0,1,1,0,5.0
328.0,122.00000000001756,1190.0,1,1,0,5.0
329.0,121.00000000001762,1195.0,1,1,0,5.0
330.0,120.00000000001768,1200.0,1,1,0,5.0
331.0,119.00000000001774,1205.0,1,1,0,5.0
332.0,118.00000000001779,1210.0,1,1,0,5.0
333.0,117.00000000001785,1215.0,1,1,0,5.0
